date,JWN
2018-03-29,39.0796727422
2018-04-02,38.3692800132
2018-04-03,38.9101472046
2018-04-04,39.8950098517
2018-04-05,40.4197317539
2018-04-06,38.7729122456
2018-04-09,38.7729122456
2018-04-10,39.935373075
2018-04-11,39.5640314211
2018-04-12,39.0473821637
2018-04-13,38.2562629881
2018-04-16,38.6276046419
2018-04-17,38.0625195166
2018-04-18,38.167463897
2018-04-19,37.7153957967
2018-04-20,37.7638316646
2018-04-23,38.8697839814
2018-04-24,38.6598952205
2018-04-25,39.337997371
2018-04-26,40.1048986126
2018-04-27,41.654846385
2018-04-30,40.8152913416
2018-05-01,40.5004582003
2018-05-02,40.5246761343
2018-05-03,39.7819928266
2018-05-04,39.9515183643
2018-05-07,39.1684718334
2018-05-08,39.0716000976
2018-05-09,39.773920182
2018-05-10,39.2169077013
2018-05-11,39.3945058835
2018-05-14,39.8142834052
2018-05-15,40.2502062162
2018-05-16,41.2108509294
2018-05-17,41.3965217563
2018-05-18,36.8836422484
2018-05-21,37.273945341
2018-05-22,37.21702614
2018-05-23,38.7213193093
2018-05-24,39.6320265253
2018-05-25,39.7865214994
2018-05-29,39.8109154427
2018-05-30,39.8434407004
2018-05-31,39.8678346437
2018-06-01,40.3231882517
2018-06-04,41.429047014
2018-06-05,42.0714208539
2018-06-06,42.1527339982
2018-06-07,42.4373300032
2018-06-08,42.6650068072
2018-06-11,42.4942492042
2018-06-12,43.0390472709
2018-06-13,41.8681379932
2018-06-14,40.5508650557
2018-06-15,41.0550065503
2018-06-18,41.9575824519
2018-06-19,41.6160672459
2018-06-20,42.1446026837
2018-06-21,42.9170775545
2018-06-22,41.8193501066
2018-06-25,41.3883904419
2018-06-26,41.9331885086
2018-06-27,41.7380369623
2018-06-28,42.5918249773
2018-06-29,42.1039461116
2018-07-02,41.2338954677
2018-07-03,41.7786935344
2018-07-05,43.193542245
2018-07-06,43.8684413426
2018-07-09,43.5187948222
2018-07-10,42.3560168589
2018-07-11,43.4374816779
2018-07-12,43.4130877346
