date,LM
2018-01-19,39.8928763808
2018-01-22,40.0981417403
2018-01-23,40.5086724592
2018-01-24,40.8031836271
2018-01-25,41.1780160226
2018-01-26,40.8299573696
2018-01-29,39.5091194044
2018-01-30,38.3578484753
2018-01-31,38.0365635649
2018-02-01,38.4649434455
2018-02-02,36.7424993422
2018-02-05,35.252094341
2018-02-06,36.1891753298
2018-02-07,35.653700479
2018-02-08,33.7259910163
2018-02-09,34.1186725736
2018-02-12,34.5113541308
2018-02-13,34.207918382
2018-02-14,34.9843569156
2018-02-15,34.7076949094
2018-02-16,35.6715496407
2018-02-20,35.76972003
2018-02-21,35.9035887427
2018-02-22,35.9125133236
2018-02-23,36.0463820363
2018-02-26,36.5729323062
2018-02-27,35.76972003
2018-02-28,35.6180021557
2018-03-01,34.7523178136
2018-03-02,34.9129602688
2018-03-05,35.4305859579
2018-03-06,35.4305859579
2018-03-07,35.600152994
2018-03-08,35.6893988024
2018-03-09,36.8942172166
2018-03-12,37.3582954206
2018-03-13,36.9656138634
2018-03-14,36.8942172166
2018-03-15,36.8403045758
2018-03-16,37.1817513011
2018-03-19,36.6426248927
2018-03-20,36.6246540124
2018-03-21,37.1907367412
2018-03-22,35.6272701568
2018-03-23,34.8455368646
2018-03-26,36.3191490476
2018-03-27,35.2858234315
2018-03-28,35.6542264772
2018-03-29,36.5258141709
2018-04-02,35.1779981498
2018-04-03,35.9327751216
2018-04-04,36.5797268117
2018-04-05,36.4179888892
2018-04-06,35.510459435
2018-04-09,35.5823429561
2018-04-10,36.0316149631
2018-04-11,34.4052502977
2018-04-12,34.6029299808
2018-04-13,33.9290219703
2018-04-16,34.3872794174
2018-04-17,34.6478571815
2018-04-18,34.4052502977
2018-04-19,34.2704686956
2018-04-20,34.2075706146
2018-04-23,33.8930802097
2018-04-24,33.6145315654
2018-04-25,33.8301821287
2018-04-26,35.5643720758
2018-04-27,35.6182847167
2018-04-30,35.6721973575
2018-05-01,34.6029299808
2018-05-02,34.0817744527
2018-05-03,33.8661238893
2018-05-04,34.1626434139
2018-05-07,34.3064104562
2018-05-08,34.4322066181
2018-05-09,35.2229253505
2018-05-10,35.4655322343
2018-05-11,35.321765192
2018-05-14,35.384663273
2018-05-15,34.998289347
2018-05-16,34.9264058259
2018-05-17,35.1600272695
