date,VAR
2018-07-16,114.59
2018-07-17,116.03
2018-07-18,117.01
2018-07-19,116.2
2018-07-20,116.41
2018-07-23,116.33
2018-07-24,117.43
2018-07-25,119.07
2018-07-26,116.45
2018-07-27,114.13
2018-07-30,112.6
2018-07-31,115.45
2018-08-01,114.47
2018-08-02,114.82
2018-08-03,114.77
2018-08-06,113.63
2018-08-07,113.65
2018-08-08,111.4
2018-08-09,111.38
2018-08-10,111.18
2018-08-13,110.75
2018-08-14,110.69
2018-08-15,109.32
2018-08-16,110.36
2018-08-17,111.21
2018-08-20,111.83
2018-08-21,112.35
2018-08-22,112.7
2018-08-23,112.29
2018-08-24,112.46
2018-08-27,112.58
2018-08-28,112.27
2018-08-29,112.75
2018-08-30,112.23
2018-08-31,112.02
2018-09-04,111.5
2018-09-05,110.4
2018-09-06,109.05
2018-09-07,106.55
2018-09-10,109.21
2018-09-11,108.94
2018-09-12,109.73
2018-09-13,112.06
2018-09-14,111.74
2018-09-17,110.05
2018-09-18,111.39
2018-09-19,109.98
2018-09-20,111.68
2018-09-21,112.48
2018-09-24,112.54
2018-09-25,112.58
2018-09-26,112.29
2018-09-27,112.74
2018-09-28,111.93
2018-10-01,113.05
2018-10-02,113.12
2018-10-03,111.41
2018-10-04,108.65
2018-10-05,108.06
2018-10-08,107.66
2018-10-09,107.91
2018-10-10,104.63
2018-10-11,103.97
2018-10-12,105.29
2018-10-15,104.95
2018-10-16,108.01
2018-10-17,108.65
2018-10-18,105.85
2018-10-19,104.19
2018-10-22,104.47
2018-10-23,104.33
2018-10-24,112.4
2018-10-25,113.55
2018-10-26,110.94
2018-10-29,110.47
2018-10-30,112.21
2018-10-31,119.37
2018-11-01,120.5
2018-11-02,120.31
2018-11-05,120.9
2018-11-06,120.75
2018-11-07,122.4
2018-11-08,124.43
2018-11-09,119.37
2018-11-12,117.93
2018-11-13,117.42
2018-11-14,114.7
2018-11-15,116.92
2018-11-16,118.76
2018-11-19,115.36
2018-11-20,114.56
2018-11-21,114.99
2018-11-23,115.58
2018-11-26,117.39
2018-11-27,117.59
2018-11-28,121.72
2018-11-29,121.19
2018-11-30,123.39
2018-12-03,125.82
2018-12-04,121.42
2018-12-06,120.84
2018-12-07,118.81
2018-12-10,119.5
2018-12-11,119.15
2018-12-12,120.86
2018-12-13,121.48
2018-12-14,119.1
2018-12-17,115.64
2018-12-18,115.49
2018-12-19,113.92
2018-12-20,110.45
2018-12-21,107.48
2018-12-24,106.9
2018-12-26,110.32
2018-12-27,111.59
2018-12-28,111.99
2018-12-31,113.31
2019-01-02,112.67
2019-01-03,109.8
2019-01-04,118.65
2019-01-07,121.93
2019-01-08,122.62
2019-01-09,123.33
2019-01-10,124.04
2019-01-11,125.65
2019-01-14,123.72
2019-01-15,124.68
2019-01-16,125.35
2019-01-17,126.05
2019-01-18,127.84
2019-01-22,125.48
2019-01-23,126.72
2019-01-24,128.82
2019-01-25,130.96
2019-01-28,130.98
2019-01-29,130.86
2019-01-30,132.47
2019-01-31,132.03
2019-02-01,132.31
2019-02-04,132.67
2019-02-05,132.93
2019-02-06,132.75
2019-02-07,130.43
2019-02-08,131.36
2019-02-11,131.09
2019-02-12,132.86
2019-02-13,132.72
2019-02-14,131.77
2019-02-15,132.74
2019-02-19,131.71
2019-02-20,132.64
2019-02-21,131.71
2019-02-22,133.02
2019-02-25,133.19
2019-02-26,131.73
2019-02-27,133.45
2019-02-28,134.36
2019-03-01,136.72
2019-03-04,135.51
2019-03-05,135.44
2019-03-06,133.82
2019-03-07,132.94
2019-03-08,133.51
2019-03-11,134.6
2019-03-12,135.61
2019-03-13,136.07
2019-03-14,136.31
2019-03-15,136.6
2019-03-18,135.57
2019-03-19,136.64
2019-03-20,135.82
2019-03-21,137.78
2019-03-22,138.59
2019-03-25,138.71
2019-03-26,139.12
2019-03-27,139.01
2019-03-28,140.28
2019-03-29,141.72
2019-04-01,141.59
2019-04-02,141.98
2019-04-03,139.54
2019-04-04,139.9
2019-04-05,140.76
2019-04-08,141.97
2019-04-09,141.0
2019-04-10,140.59
2019-04-11,140.52
2019-04-12,141.5
2019-04-15,141.04
2019-04-16,137.12
2019-04-17,131.66
2019-04-18,130.78
2019-04-22,130.47
2019-04-23,132.91
2019-04-24,133.27
2019-04-25,133.7
2019-04-26,134.28
2019-04-29,135.11
2019-04-30,136.17
2019-05-01,134.86
2019-05-02,137.81
2019-05-03,139.13
2019-05-06,137.51
2019-05-07,134.02
2019-05-08,134.42
2019-05-09,134.69
2019-05-10,134.78
2019-05-13,129.44
2019-05-14,130.17
2019-05-15,130.19
2019-05-16,130.9
2019-05-17,130.65
2019-05-20,130.51
2019-05-21,127.94
2019-05-22,128.46
2019-05-23,127.2
2019-05-24,128.07
2019-05-28,125.89
2019-05-29,126.01
2019-05-30,127.15
2019-05-31,126.26
2019-06-03,125.35
2019-06-04,126.98
2019-06-05,128.04
2019-06-06,129.66
2019-06-07,130.69
2019-06-10,131.32
2019-06-11,130.67
2019-06-12,132.0
2019-06-13,132.08
2019-06-14,130.88
2019-06-17,131.49
2019-06-18,134.25
2019-06-19,135.92
2019-06-20,136.36
2019-06-21,137.22
2019-06-24,136.2
2019-06-25,135.32
2019-06-26,132.21
2019-06-27,133.02
2019-06-28,136.13
2019-07-01,139.63
2019-07-02,139.79
2019-07-03,138.87
2019-07-05,139.44
2019-07-08,137.31
2019-07-09,138.1
2019-07-10,136.59
2019-07-11,135.15
2019-07-12,134.87
2019-07-15,135.25
2019-07-16,134.9
2019-07-17,134.85
2019-07-18,135.36
2019-07-19,132.8
2019-07-22,132.17
2019-07-23,132.96
2019-07-24,133.81
2019-07-25,121.09
2019-07-26,120.76
2019-07-29,119.67
2019-07-30,118.9
2019-07-31,117.37
2019-08-01,118.69
2019-08-02,116.31
2019-08-05,111.63
2019-08-06,112.65
2019-08-07,112.44
2019-08-08,114.0
2019-08-09,111.37
2019-08-12,109.55
2019-08-13,110.57
2019-08-14,107.53
2019-08-15,107.32
2019-08-16,108.95
2019-08-19,108.71
2019-08-20,108.06
2019-08-21,108.55
2019-08-22,108.24
2019-08-23,106.12
2019-08-26,105.63
2019-08-27,105.49
2019-08-28,106.07
2019-08-29,106.65
2019-08-30,105.93
2019-09-03,105.19
2019-09-04,105.07
2019-09-05,108.09
2019-09-06,109.55
2019-09-09,109.62
2019-09-10,111.24
2019-09-11,115.19
2019-09-12,119.55
2019-09-13,117.39
2019-09-16,117.21
2019-09-17,118.09
2019-09-18,117.44
2019-09-19,115.96
2019-09-20,117.53
2019-09-23,117.97
2019-09-24,117.26
2019-09-25,117.82
2019-09-26,116.73
2019-09-27,118.16
2019-09-30,119.09
2019-10-01,115.6
2019-10-02,112.98
2019-10-03,114.79
2019-10-04,113.82
2019-10-07,112.3
2019-10-08,107.95
2019-10-09,109.92
2019-10-10,108.98
2019-10-11,110.82
2019-10-14,112.82
2019-10-15,113.52
2019-10-16,113.47
2019-10-17,114.12
2019-10-18,114.62
2019-10-21,116.32
2019-10-22,114.68
2019-10-23,117.4
2019-10-24,126.33
2019-10-25,120.3
2019-10-28,122.2
2019-10-29,121.44
2019-10-30,122.49
2019-10-31,120.81
2019-11-01,123.3
2019-11-04,125.97
2019-11-05,123.74
2019-11-06,124.42
2019-11-07,123.46
2019-11-08,124.76
2019-11-11,125.36
2019-11-12,124.48
2019-11-13,124.54
2019-11-14,125.0
2019-11-15,128.51
2019-11-18,128.88
2019-11-19,128.48
2019-11-20,129.01
2019-11-21,129.97
2019-11-22,131.58
2019-11-25,133.49
2019-11-26,133.28
2019-11-27,133.55
2019-11-29,133.73
2019-12-02,134.53
2019-12-03,135.37
2019-12-04,138.54
2019-12-05,139.23
2019-12-06,138.51
2019-12-09,138.99
2019-12-10,139.01
2019-12-11,139.22
2019-12-12,141.86
2019-12-13,141.53
2019-12-16,143.26
2019-12-17,142.81
2019-12-18,142.1
2019-12-19,141.86
2019-12-20,142.01
2019-12-23,142.8
2019-12-24,142.9
2019-12-26,141.66
2019-12-27,142.24
2019-12-30,141.45
2019-12-31,142.01
2020-01-02,144.81
2020-01-03,144.93
2020-01-06,146.21
2020-01-07,146.23
2020-01-08,146.0
2020-01-09,146.29
2020-01-10,146.62
2020-01-13,146.44
2020-01-14,148.5
2020-01-15,147.7
2020-01-16,148.75
2020-01-17,149.0
2020-01-21,148.07
2020-01-22,149.57
2020-01-23,149.41
2020-01-24,148.29
