date,VIAB
2018-10-01,31.5511904175
2018-10-02,31.8136310032
2018-10-03,32.3871122831
2018-10-04,32.1246716974
2018-10-05,31.6872707212
2018-10-08,31.8233510249
2018-10-09,31.9011111984
2018-10-10,31.0554693111
2018-10-11,30.3167476624
2018-10-12,30.5111480962
2018-10-15,30.8902289423
2018-10-16,31.9108312201
2018-10-17,32.4745924783
2018-10-18,32.7856331725
2018-10-19,32.2996320879
2018-10-22,32.0760715889
2018-10-23,31.7941909598
2018-10-24,29.0823049073
2018-10-25,28.8490243866
2018-10-26,29.1406250374
2018-10-29,29.6071860787
2018-10-30,30.7638686603
2018-10-31,31.0846293762
2018-11-01,31.8622311116
2018-11-02,30.7833087037
2018-11-05,31.502590309
2018-11-06,31.6483906344
2018-11-07,31.4345501571
2018-11-08,31.1332294846
2018-11-09,31.2012696365
2018-11-12,31.6581106561
2018-11-13,31.152669528
2018-11-14,30.899948964
2018-11-15,30.9388290508
2018-11-16,32.0663515672
2018-11-19,30.5403081613
2018-11-20,29.9668268814
2018-11-21,30.8610688772
2018-11-23,30.170947337
2018-11-26,30.2681475539
2018-11-27,30.6277883566
2018-11-28,31.1623895497
2018-11-29,31.1332294846
2018-11-30,29.9959869465
2018-12-03,30.5889082698
2018-12-04,30.0154269899
2018-12-06,29.1600650808
2018-12-07,29.0725848856
2018-12-10,28.5671437575
2018-12-11,28.6935040395
2018-12-12,28.6935040395
2018-12-13,28.265823085
2018-12-14,27.9645024125
2018-12-17,27.4848872154
2018-12-18,26.7312061913
2018-12-19,26.1732864722
2018-12-20,25.7426116013
2018-12-21,25.1357515559
2018-12-24,24.8127454028
2018-12-26,25.7132474056
2018-12-27,25.3413009261
2018-12-28,25.3413009261
2018-12-31,25.1553276864
2019-01-02,26.1830745374
2019-01-03,25.8307041885
2019-01-04,26.3298955162
2019-01-07,27.5729798026
2019-01-08,28.101535326
2019-01-09,28.3853892182
2019-01-10,28.7083953713
2019-01-11,28.8160640891
2019-01-14,29.24673896
2019-01-15,29.3544076777
2019-01-16,28.9628850678
2019-01-17,29.1586463727
2019-01-18,29.4425002649
2019-01-22,28.6203027841
2019-01-23,28.5322101969
2019-01-24,28.5224221316
2019-01-25,28.3756011529
2019-01-28,28.5126340664
2019-01-29,28.2385682394
2019-01-30,28.023230804
2019-01-31,28.7964879586
2019-02-01,28.9041566763
2019-02-04,28.8258521543
2019-02-05,29.6872018961
2019-02-06,28.9922492635
2019-02-07,28.7573356976
2019-02-08,28.5713624579
2019-02-11,27.9253501515
2019-02-12,27.7883172381
2019-02-13,27.9253501515
2019-02-14,27.944926282
2019-02-15,28.5322101969
2019-02-19,28.5322101969
2019-02-20,28.6888192408
2019-02-21,28.5713624579
2019-02-22,28.5713624579
2019-02-25,28.2972966309
2019-02-26,28.5224221316
2019-02-27,28.3951772834
2019-02-28,28.6007266536
2019-03-01,28.8258521543
2019-03-04,28.7671237628
2019-03-05,29.2369508947
2019-03-06,29.129282177
2019-03-07,28.5126340664
2019-03-08,28.2483563047
2019-03-11,28.4245414791
2019-03-12,28.8160640891
2019-03-13,27.8470456295
2019-03-14,28.1113233912
2019-03-15,27.5889180126
2019-03-18,27.4016406128
2019-03-19,27.1256528656
2019-03-20,25.6372903719
2019-03-21,25.6077202561
2019-03-22,24.9768911197
2019-03-25,25.9428482348
2019-03-26,27.9240459914
2019-03-27,27.5494911916
2019-03-28,27.0566559288
2019-03-29,27.6677716547
2019-04-01,28.4760214857
2019-04-02,28.4070245489
2019-04-03,28.9294299275
2019-04-04,28.8505762855
2019-04-05,29.3532682535
2019-04-08,29.4814054219
2019-04-09,29.2842713167
2019-04-10,29.8066766953
2019-04-11,29.4222651903
2019-04-12,29.8559602216
2019-04-15,29.5405456534
2019-04-16,29.9939540952
2019-04-17,30.102377853
2019-04-18,29.7475364638
2019-04-22,28.604158654
2019-04-23,28.8604329907
2019-04-24,29.2744146115
2019-04-25,28.7815793487
2019-04-26,28.9787134538
2019-04-29,28.9688567485
2019-04-30,28.4957348962
2019-05-01,28.4365946647
2019-05-02,28.4957348962
2019-05-03,28.1901770333
2019-05-06,28.2986007911
2019-05-07,28.0324697492
2019-05-08,27.9930429281
2019-05-09,28.0916099807
2019-05-10,28.8308628749
2019-05-13,27.7466252967
2019-05-14,28.0620398649
2019-05-15,27.8649057598
2019-05-16,28.1310368017
2019-05-17,28.0423264544
2019-05-20,28.1901770333
2019-05-21,28.5745885383
2019-05-22,28.3971678437
2019-05-23,27.9141892861
2019-05-24,27.6579149494
2019-05-28,27.4903509601
2019-05-29,27.3523570865
2019-05-30,28.3084574964
2019-05-31,28.6140153593
2019-06-03,28.6238720646
2019-06-04,28.9392866328
2019-06-05,28.7125824119
2019-06-06,28.7618659381
2019-06-07,28.8604329907
2019-06-10,28.6534421803
2019-06-11,28.525305012
2019-06-12,28.7224391171
2019-06-13,29.4124084851
