date,ETFC
2018-07-17,59.6706127625
2018-07-18,61.6127867795
2018-07-19,59.7389304415
2018-07-20,58.19690283
2018-07-23,58.5970492355
2018-07-24,58.5970492355
2018-07-25,59.7096514362
2018-07-26,59.9146044732
2018-07-27,59.7584497783
2018-07-30,58.5092122197
2018-07-31,58.3725768617
2018-08-01,58.7532039304
2018-08-02,58.928877962
2018-08-03,58.6653669145
2018-08-06,58.9581569673
2018-08-07,59.5925354151
2018-08-08,59.8365271258
2018-08-09,59.9829221522
2018-08-10,59.1143116622
2018-08-13,58.606808904
2018-08-14,59.2997453623
2018-08-15,58.8800796199
2018-08-16,59.8170077889
2018-08-17,59.7194111046
2018-08-20,59.7584497783
2018-08-21,57.1526183083
2018-08-22,57.6796404034
2018-08-23,57.0257426188
2018-08-24,57.3868503506
2018-08-27,58.19690283
2018-08-28,58.2554608406
2018-08-29,58.1090658142
2018-08-30,57.2502149926
2018-08-31,57.4454083611
2018-09-04,57.9333917825
2018-09-05,56.8598282555
2018-09-06,54.0880824223
2018-09-07,53.6684166799
2018-09-10,53.4146653008
2018-09-11,53.190192927
2018-09-12,52.2239857527
2018-09-13,52.2239857527
2018-09-14,52.4191791213
2018-09-17,52.0287923842
2018-09-18,52.4679774634
2018-09-19,54.4394304856
2018-09-20,54.8688558964
2018-09-21,53.6976956852
2018-09-24,53.1023559111
2018-09-25,53.0145188953
2018-09-26,51.7457619998
2018-09-27,51.5115299575
2018-09-28,51.1309028889
2018-10-01,50.5941211254
2018-10-02,50.3013310726
2018-10-03,51.1504222258
2018-10-04,51.2187399047
2018-10-05,51.4236929417
2018-10-08,51.5700879681
2018-10-09,51.8823973578
2018-10-10,49.6083946143
2018-10-11,48.3298780504
2018-10-12,48.6031487663
2018-10-15,48.1737233555
2018-10-16,49.1887288719
2018-10-17,49.3546432352
2018-10-18,47.7442979447
2018-10-19,47.9004526396
2018-10-22,47.1977565128
2018-10-23,47.4417482235
2018-10-24,45.6069305592
2018-10-25,46.2315493386
2018-10-26,46.377944365
2018-10-29,46.6804940862
2018-10-30,47.2188516401
2018-10-31,48.3738733013
2018-11-01,49.4310117709
2018-11-02,50.0280992398
2018-11-05,50.3511137722
2018-11-06,51.3005807309
2018-11-07,52.4458140729
2018-11-08,52.7296753287
2018-11-09,51.8193616465
2018-11-12,50.9286246027
2018-11-13,51.3299456884
2018-11-14,50.5077268788
2018-11-15,51.3984639225
2018-11-16,51.0852377093
2018-11-19,50.2336539422
2018-11-20,49.1667271535
2018-11-21,49.6952963883
2018-11-23,49.616989835
2018-11-26,50.7328582195
2018-11-27,50.8013764536
2018-11-28,51.5159237525
2018-11-29,50.3706904105
2018-11-30,51.183120901
2018-12-03,51.789996689
2018-12-04,47.6201727258
2018-12-06,46.3966328305
2018-12-07,44.7717718495
2018-12-10,44.1551077423
2018-12-11,43.9495530398
2018-12-12,44.6543120196
2018-12-13,43.3231006134
2018-12-14,42.6281299529
2018-12-17,42.3149037397
2018-12-18,42.5889766763
2018-12-19,42.1876555906
2018-12-20,41.551414845
2018-12-21,40.8564441845
2018-12-24,40.3963931838
2018-12-26,42.3051154205
2018-12-27,42.5596117188
2018-12-28,42.6085533146
2018-12-31,42.9511444853
2019-01-02,43.5286553159
2019-01-03,42.4813051655
2019-01-04,44.321509168
2019-01-07,44.6053704237
2019-01-08,45.3688593184
2019-01-09,46.4651510646
2019-01-10,46.6511291287
2019-01-11,46.8664721503
2019-01-14,46.5923992137
2019-01-15,46.788165597
2019-01-16,48.295566748
2019-01-17,48.6675228762
2019-01-18,49.5876248775
2019-01-22,49.019902366
2019-01-23,48.2564134714
2019-01-24,48.4326032163
2019-01-25,46.7588006395
2019-01-28,46.5043043413
2019-01-29,46.4945160221
2019-01-30,45.4569541909
2019-01-31,45.8093336807
2019-02-01,46.4376657329
2019-02-04,46.7027433175
2019-02-05,46.3002180965
2019-02-06,46.0842289536
2019-02-07,45.7896983041
2019-02-08,45.0926424337
2019-02-11,45.5344384079
2019-02-12,46.6045664343
2019-02-13,46.4180303563
2019-02-14,45.7111567976
2019-02-15,46.594748746
2019-02-19,47.7630536555
2019-02-20,47.5568822009
2019-02-21,47.3507107463
2019-02-22,47.9986781751
2019-02-25,47.8612305387
2019-02-26,48.244120383
2019-02-27,48.3815680194
2019-02-28,48.0968550583
2019-03-01,49.5989613706
2019-03-04,48.1753965648
2019-03-05,48.2048496297
2019-03-06,47.5568822009
2019-03-07,46.3689419147
2019-03-08,46.005687447
2019-03-11,46.4965718628
2019-03-12,47.1739923566
2019-03-13,47.497976071
2019-03-14,48.0084958634
2019-03-15,48.1263081232
2019-03-18,48.6859163572
2019-03-19,48.2833911363
2019-03-20,46.594748746
2019-03-21,45.7504275508
2019-03-22,44.199232797
2019-03-25,44.2679566152
2019-03-26,44.8079294725
2019-03-27,44.3759511866
2019-03-28,45.102460122
2019-03-29,45.5835268495
2019-04-01,47.0954508501
2019-04-02,47.1838100449
2019-04-03,47.15435698
2019-04-04,47.5470645126
2019-04-05,47.8808659153
2019-04-08,47.7826890322
2019-04-09,47.1150862267
2019-04-10,47.1641746683
2019-04-11,47.3997991879
2019-04-12,48.3913857077
2019-04-15,48.0772196816
2019-04-16,48.9117231885
2019-04-17,49.0589885132
2019-04-18,50.2076580461
2019-04-22,49.4909667991
2019-04-23,49.5400552407
2019-04-24,49.0491708249
2019-04-25,49.2749776561
2019-04-26,49.3437014744
2019-04-29,50.3352879942
2019-04-30,49.736409007
2019-05-01,49.1866184613
2019-05-02,49.5400552407
2019-05-03,49.6775028771
2019-05-06,49.5302375524
2019-05-07,48.9215408768
2019-05-08,48.8724524352
2019-05-09,49.1669830847
2019-05-10,48.8822701235
2019-05-13,46.7753605955
2019-05-14,47.7500523865
2019-05-15,46.9427319132
2019-05-16,47.6515986703
2019-05-17,47.2184023187
2019-05-20,47.4350004945
2019-05-21,47.7598977581
2019-05-22,46.9230411699
2019-05-23,45.7219058315
2019-05-24,46.1255660682
2019-05-28,44.973657588
2019-05-29,45.3280909665
2019-05-30,45.2394826219
2019-05-31,44.1072648849
2019-06-03,44.0974195132
2019-06-04,45.9680401222
2019-06-05,46.0369577236
2019-06-06,45.7908234329
2019-06-07,45.3477817098
2019-06-10,45.9188132641
2019-06-11,45.9188132641
2019-06-12,44.7865955271
2019-06-13,45.1902557637
2019-06-14,44.6093788378
2019-06-17,44.471543635
2019-06-18,45.3379363381
2019-06-19,44.3632445471
2019-06-20,44.7472140406
2019-06-21,45.5151530274
2019-06-24,43.8709759658
2019-06-25,43.7823676212
2019-06-26,43.5756148171
2019-06-27,44.2943269458
2019-06-28,43.9103574523
2019-07-01,44.9441214731
2019-07-02,44.8555131285
2019-07-03,44.8259770136
2019-07-05,45.4363900544
2019-07-08,44.4124714053
2019-07-09,44.5995334662
2019-07-10,43.8611305942
2019-07-11,44.5601519797
2019-07-12,45.0425751893
2019-07-15,44.9342761015
2019-07-16,45.682524345
2019-07-17,45.0130390745
2019-07-18,45.7908234329
2019-07-19,46.6178346495
2019-07-22,46.8639689402
2019-07-23,47.8780422177
2019-07-24,48.9511877249
2019-07-25,48.3506200557
2019-07-26,48.7345895491
2019-07-29,48.1930941097
2019-07-30,48.2029394813
2019-07-31,48.0355681637
2019-08-01,46.2732466426
2019-08-02,45.367472453
2019-08-05,42.5320054247
2019-08-06,43.4476249859
2019-08-07,41.9314377555
2019-08-08,42.5418507963
2019-08-09,41.5671590053
2019-08-12,40.5038588697
