date,FL
2021-05-04,54.7370109337
2021-05-05,54.5405969326
2021-05-06,55.9422786675
2021-05-07,56.4154578519
2021-05-10,55.9065670309
2021-05-11,55.6030181202
2021-05-12,53.156771016
2021-05-13,55.1030552084
2021-05-14,57.6742930405
2021-05-17,58.7634979555
2021-05-18,57.129690583
2021-05-19,55.0584156627
2021-05-20,53.2996175622
2021-05-21,54.3441829315
2021-05-24,54.951280753
2021-05-25,54.8352179342
2021-05-26,57.1207626739
2021-05-27,57.4332394938
2021-05-28,56.5047369433
2021-06-01,56.8439974906
2021-06-02,56.1922601234
2021-06-03,55.6833693024
2021-06-04,55.4155320283
2021-06-07,54.6745155697
2021-06-08,55.7994321213
2021-06-09,55.3708924826
2021-06-10,54.6120202057
2021-06-11,55.9154949401
2021-06-14,55.0227040261
2021-06-15,54.3620387498
2021-06-16,54.0317061116
2021-06-17,52.0229265553
2021-06-18,51.1122798231
2021-06-21,52.3978987391
2021-06-22,52.9871407423
2021-06-23,53.6478060187
2021-06-24,54.6120202057
2021-06-25,56.5940160347
2021-06-28,54.2013363853
2021-06-29,54.0406340208
2021-06-30,55.0227040261
2021-07-01,55.781576303
2021-07-02,55.5762343928
2021-07-06,54.0317061116
2021-07-07,54.2102642944
2021-07-08,54.2191922036
2021-07-09,56.3083229422
2021-07-12,56.5404485798
2021-07-13,54.7012992971
2021-07-14,53.8710037471
2021-07-15,51.55867528
2021-07-16,50.1789991735
2021-07-19,48.799323067
2021-07-20,51.1107284922
2021-07-21,52.5710350205
2021-07-22,52.0872524897
2021-07-23,52.2933080121
2021-07-26,52.4635277915
2021-07-27,51.0928106207
2021-07-28,50.8777961625
2021-07-29,50.8867550983
2021-07-30,51.119687428
2021-08-02,50.0446151371
2021-08-03,49.7758470644
2021-08-04,47.8855116198
2021-08-05,48.7724462597
2021-08-06,49.0322553966
2021-08-09,49.0412143324
2021-08-10,50.7254942547
2021-08-11,51.7288950594
2021-08-12,51.0121801989
2021-08-13,50.1700402377
2021-08-16,49.9908615226
2021-08-17,48.4320067009
2021-08-18,48.1184439494
2021-08-19,48.7276515809
2021-08-20,52.2664312048
2021-08-23,52.5710350205
2021-08-24,53.3862981744
2021-08-25,52.1947597188
2021-08-26,51.8095254812
2021-08-27,51.3167840146
2021-08-30,50.0894098159
2021-08-31,50.788206805
2021-09-01,51.1823999783
2021-09-02,51.6661825091
2021-09-03,51.227194657
2021-09-07,47.912388427
2021-09-08,47.4554827034
2021-09-09,48.0915671422
2021-09-10,46.7656446502
2021-09-13,45.2067898285
2021-09-14,44.5707053898
2021-09-15,44.5796643255
2021-09-16,44.2123479595
2021-09-17,44.4631981607
2021-09-20,44.7588430407
2021-09-21,44.6155000686
2021-09-22,45.3142970576
2021-09-23,46.5416712563
2021-09-24,43.2089471548
2021-09-27,44.2123479595
2021-09-28,44.1765122165
2021-09-29,44.2481837025
2021-09-30,40.9065006653
2021-10-01,41.7934353052
2021-10-04,41.7396816906
2021-10-05,40.6377325926
2021-10-06,41.246940224
2021-10-07,42.5818216518
2021-10-08,42.3757661294
2021-10-11,41.7217638191
2021-10-12,42.0890801852
2021-10-13,42.50119123
2021-10-14,42.7789182384
2021-10-15,42.9231674885
