date,DFS
2018-07-10,61.3986533423
2018-07-11,61.1070140277
2018-07-12,60.8839957284
2018-07-13,59.9490343964
2018-07-16,60.5237353986
2018-07-17,60.9869272511
2018-07-18,61.8361123141
2018-07-19,61.338609954
2018-07-20,61.8103794334
2018-07-23,62.7281855116
2018-07-24,62.7110302578
2018-07-25,62.3936580626
2018-07-26,61.7074479106
2018-07-27,62.7539183923
2018-07-30,61.6731374031
2018-07-31,61.252833685
2018-08-01,61.338609954
2018-08-02,61.6302492686
2018-08-03,62.9083156765
2018-08-06,62.7367631385
2018-08-07,64.1606492037
2018-08-08,64.7610830867
2018-08-09,64.9069027439
2018-08-10,63.9204756506
2018-08-13,63.7575007395
2018-08-14,64.9412132515
2018-08-15,64.6753068177
2018-08-16,66.3050559285
2018-08-17,66.8368687962
2018-08-20,67.3515264101
2018-08-21,67.9691155468
2018-08-22,68.0034260544
2018-08-23,67.1671770271
2018-08-24,67.4775374909
2018-08-27,68.1586062863
2018-08-28,67.6758233427
2018-08-29,67.6930655907
2018-08-30,67.1154502832
2018-08-31,67.348220631
2018-09-04,67.7447923347
2018-09-05,67.7016867147
2018-09-06,67.0119967953
2018-09-07,66.7792264475
2018-09-10,67.356841755
2018-09-11,68.0034260544
2018-09-12,66.8740588114
2018-09-13,66.4688659837
2018-09-14,67.1068291592
2018-09-17,66.8654376874
2018-09-18,67.4947797389
2018-09-19,67.8999725665
2018-09-20,68.4086188821
2018-09-21,68.9603708176
2018-09-24,67.9516993105
2018-09-25,67.7620345826
2018-09-26,66.7619841995
2018-09-27,66.4688659837
2018-09-28,65.9084929242
2018-10-01,66.149884396
2018-10-02,66.6671518356
2018-10-03,67.2533882671
2018-10-04,67.0206179193
2018-10-05,66.2274745119
2018-10-08,66.3826547438
2018-10-09,66.0291886601
2018-10-10,65.1067283929
2018-10-11,63.9514977779
2018-10-12,64.2618582416
2018-10-15,63.80493867
2018-10-16,65.1756973848
2018-10-17,65.4257099806
2018-10-18,64.6067032013
2018-10-19,65.5464057165
2018-10-22,64.0721935138
2018-10-23,63.80493867
2018-10-24,62.3738320872
2018-10-25,63.1238698746
2018-10-26,58.1236179588
2018-10-29,58.5546741584
2018-10-30,59.6409357815
2018-10-31,60.0633708572
2018-11-01,60.4427003128
2018-11-02,59.2616063258
2018-11-05,59.6409357815
2018-11-06,59.9771596172
2018-11-07,60.9858311244
2018-11-08,61.391023952
2018-11-09,60.8306508925
2018-11-12,59.7788737654
2018-11-13,60.296141205
2018-11-14,59.6495569055
2018-11-15,60.9685888764
2018-11-16,60.9685888764
2018-11-19,60.3306257009
2018-11-20,59.1753950859
2018-11-21,59.6696795994
2018-11-23,59.4095298554
2018-11-26,61.2652646955
2018-11-27,61.4733844906
2018-11-28,62.4792968338
2018-11-29,61.7595492089
2018-11-30,61.828922474
2018-12-03,62.1671171411
2018-12-04,57.5624666735
2018-12-06,57.657854913
2018-12-07,56.2270313214
2018-12-10,56.1403147401
2018-12-11,55.21244732
2018-12-12,55.6286869103
2018-12-13,54.8569093367
2018-12-14,53.6081905658
2018-12-17,51.9432322047
2018-12-18,51.6137091957
2018-12-19,50.642483485
2018-12-20,50.2869455016
2018-12-21,48.9081518588
2018-12-24,47.7721646436
2018-12-26,50.4083487155
2018-12-27,51.0500514172
2018-12-28,50.5644385618
2018-12-31,51.1454396566
2019-01-02,51.5183209562
2019-01-03,50.6511551431
2019-01-04,53.1485926849
2019-01-07,53.2353092662
2019-01-08,53.3306975056
2019-01-09,53.8770119679
2019-01-10,54.1891916606
2019-01-11,54.2325499512
2019-01-14,54.7962077298
2019-01-15,54.5794162765
2019-01-16,55.8107917311
2019-01-17,55.9668815774
2019-01-18,57.5537950154
2019-01-22,57.3370035621
2019-01-23,57.3716901947
2019-01-24,57.3890335109
2019-01-25,57.8659747081
2019-01-28,58.4122891704
2019-01-29,57.9093329988
2019-01-30,58.7244688631
2019-01-31,58.5250207261
2019-02-01,59.314141616
2019-02-04,59.9385010014
2019-02-05,59.9905309502
2019-02-06,59.8517844201
2019-02-07,59.7650678388
2019-02-08,58.9759469489
2019-02-11,58.8632153932
2019-02-12,60.4588004893
2019-02-13,60.8576967633
2019-02-14,60.4327855149
2019-02-15,61.8202508159
2019-02-19,62.0804005598
2019-02-20,62.4532818594
2019-02-21,62.095758185
2019-02-22,62.3137604255
2019-02-25,61.9387965718
2019-02-26,61.7120742417
2019-02-27,62.1306385435
2019-02-28,62.4445617698
2019-03-01,62.6451238311
2019-03-04,62.2963202463
2019-03-05,61.9387965718
2019-03-06,62.1742389916
2019-03-07,60.9621465344
2019-03-08,60.9359862655
2019-03-11,61.7992751379
2019-03-12,62.2178394397
2019-03-13,62.8892863404
2019-03-14,63.0811283121
2019-03-15,63.7961756609
2019-03-18,64.2321801419
2019-03-19,64.2060198731
2019-03-20,62.348640784
2019-03-21,63.150889029
2019-03-22,61.3458304777
2019-03-25,60.8313451901
2019-03-26,61.5463925389
2019-03-27,61.4591916427
2019-03-28,61.6684737936
2019-03-29,62.0521577369
2019-04-01,64.092658708
2019-04-02,64.3368212174
2019-04-03,64.5112230098
2019-04-04,64.7292252503
2019-04-05,65.3570717029
2019-04-08,65.2349904482
2019-04-09,64.6769047126
2019-04-10,64.9908279389
2019-04-11,65.287310986
2019-04-12,66.4558029951
2019-04-15,66.1069994103
2019-04-16,67.101089627
2019-04-17,67.0226088204
2019-04-18,67.2754914194
2019-04-22,67.0487690892
2019-04-23,67.3190918675
2019-04-24,67.1621302543
2019-04-25,67.6068548249
2019-04-26,70.7984076259
2019-04-29,71.0164098664
2019-04-30,71.0600103145
2019-05-01,70.7199268193
2019-05-02,70.7548071778
2019-05-03,71.7401773049
2019-05-06,71.530895154
2019-05-07,70.1705611732
2019-05-08,68.9410285368
2019-05-09,68.8887079991
2019-05-10,69.2898321216
2019-05-13,66.8133266695
2019-05-14,67.7027758107
2019-05-15,67.3452521363
2019-05-16,68.1213401125
2019-05-17,67.397572674
2019-05-20,67.8597374239
2019-05-21,68.592224952
2019-05-22,68.40910307
2019-05-23,67.101089627
2019-05-24,67.4078875547
2019-05-28,66.7942916992
2019-05-29,67.0747926617
2019-05-30,66.5576190121
2019-05-31,65.3479586112
2019-06-03,65.4882090925
2019-06-04,67.6971541723
2019-06-05,68.1266712712
2019-06-06,68.4597661641
2019-06-07,68.4948287845
2019-06-10,68.5386570599
2019-06-11,69.0382993993
2019-06-12,67.881232929
2019-06-13,67.889998584
2019-06-14,67.889998584
2019-06-17,67.3903562446
2019-06-18,68.2143278219
2019-06-19,67.5043097606
2019-06-20,68.7139701614
2019-06-21,68.7052045063
2019-06-24,68.0127177551
2019-06-25,67.8637016188
2019-06-26,68.0127177551
2019-06-27,68.0127177551
2019-06-28,68.0127177551
2019-07-01,68.8805176079
2019-07-02,69.1347216052
2019-07-03,70.4583355221
2019-07-05,70.3005537307
2019-07-08,70.3706789713
2019-07-09,70.5810546932
2019-07-10,70.2128971799
