ticker,fonte,n_dias,ratio_medio,ratio_min,ratio_max,cv_pct,status
IFF,cache,251,0.779491,0.77949,0.779491,0.0,ok
CMG,cache,251,0.02,0.02,0.02,0.0,ok
CMI,cache,251,0.760661,0.76066,0.760661,0.0,ok
COF,cache,251,0.831421,0.83142,0.831422,0.0,ok
SCG,cache,117,0.890831,0.89083,0.890832,0.0,ok
SJM,cache,251,0.73191,0.73191,0.731911,0.0,ok
BDX,cache,251,0.655641,0.655641,0.655642,0.0,ok
GOOG,cache,251,0.049593,0.049593,0.049593,0.0,ok
GPC,cache,251,0.742777,0.742777,0.742778,0.0,ok
GS,cache,251,0.810697,0.810697,0.810698,0.0,ok
HCA,cache,251,0.928175,0.928174,0.928175,0.0,ok
HD,cache,251,0.782835,0.782835,0.782836,0.0,ok
FIS,cache,251,0.834764,0.834763,0.834764,0.0,ok
FTI,cache,251,0.682172,0.682172,0.682172,0.0,ok
GD,cache,251,0.799465,0.799464,0.799465,0.0,ok
BMY,cache,251,0.703062,0.703061,0.703063,0.0,ok
BSX,cache,251,1.0,1.0,1.0,0.0,ok
BXP,cache,251,0.65995,0.659949,0.659951,0.0,ok
CAT,cache,251,0.789137,0.789136,0.789137,0.0,ok
AZO,cache,251,1.0,1.0,1.0,0.0,ok
SLB,cache,251,0.747997,0.747996,0.747998,0.0,ok
SLG,cache,251,0.580262,0.580262,0.580263,0.0,ok
SNA,cache,251,0.782925,0.782925,0.782926,0.0,ok
DE,cache,251,0.844208,0.844207,0.844209,0.0,ok
DG,cache,251,0.872299,0.872298,0.8723,0.0,ok
DGX,cache,251,0.815362,0.815361,0.815363,0.0,ok
DHR,cache,251,0.410061,0.410061,0.410062,0.0,ok
DIS,cache,251,0.921737,0.921736,0.921737,0.0,ok
DISCK,cache,251,1.0,1.0,1.0,0.0,ok
FDX,cache,251,0.853107,0.853106,0.853107,0.0,ok
SRCL,cache,251,1.0,1.0,1.0,0.0,ok
SRE,cache,251,0.362759,0.362759,0.362759,0.0,ok
STT,cache,251,0.745824,0.745824,0.745825,0.0,ok
STZ,cache,251,0.851269,0.851269,0.85127,0.0,ok
SWK,cache,251,0.763761,0.763761,0.763762,0.0,ok
SWN,cache,251,1.0,1.0,1.0,0.0,ok
SYK,cache,251,0.891562,0.891561,0.891563,0.0,ok
TAP,cache,251,0.773549,0.773548,0.77355,0.0,ok
TDC,cache,251,1.0,1.0,1.0,0.0,ok
TEL,cache,251,0.831807,0.831806,0.831807,0.0,ok
EQT,cache,251,0.497774,0.497773,0.497774,0.0,ok
ESRX,cache,251,1.0,1.0,1.0,0.0,ok
ESS,cache,251,0.713139,0.713138,0.713139,0.0,ok
ETN,cache,251,0.791018,0.791017,0.791019,0.0,ok
ETR,cache,251,0.334039,0.334039,0.33404,0.0,ok
EW,cache,251,0.333333,0.333333,0.333333,0.0,ok
CTXS,cache,251,0.760799,0.760799,0.760799,0.0,ok
CVS,cache,251,0.732707,0.732706,0.732707,0.0,ok
CVX,cache,251,0.645608,0.645608,0.645609,0.0,ok
