Date,AAP
2020-02-10,114.7087631225586
2020-02-11,115.96399688720703
2020-02-12,117.90392303466797
2020-02-13,118.21114349365234
2020-02-14,117.26312255859375
2020-02-18,124.47855377197266
2020-02-19,122.99506378173828
2020-02-20,125.06661224365234
2020-02-21,123.42517852783203
2020-02-24,122.8106918334961
2020-02-25,120.78302764892578
2020-02-26,118.09701538085938
2020-02-27,117.73713684082031
2020-02-28,116.7276840209961
2020-03-02,116.73646545410156
2020-03-03,114.40155029296875
2020-03-04,116.65745544433594
2020-03-05,111.40829467773438
2020-03-06,112.27732849121094
2020-03-09,114.42788696289062
2020-03-10,118.67637634277344
2020-03-11,110.2671890258789
2020-03-12,95.82765197753906
2020-03-13,99.79524230957031
2020-03-16,83.6089096069336
2020-03-17,87.99781799316406
2020-03-18,77.89451599121094
2020-03-19,75.67627716064453
2020-03-20,66.0461654663086
2020-03-23,69.10069274902344
2020-03-24,76.03717041015625
2020-03-25,79.54940795898438
2020-03-26,85.49120330810547
2020-03-27,84.15318298339844
2020-03-30,84.94544219970703
2020-03-31,82.14619445800781
2020-04-01,78.49309539794922
2020-04-02,77.8240966796875
2020-04-03,74.51432037353516
2020-04-06,84.33805847167969
2020-04-07,87.53340911865234
2020-04-08,90.24462127685547
2020-04-09,94.0649642944336
2020-04-13,96.82898712158203
2020-04-14,101.57361602783203
2020-04-15,98.58072662353516
2020-04-16,103.45738220214844
2020-04-17,104.62813568115234
2020-04-20,101.58241271972656
2020-04-21,99.91873168945312
2020-04-22,99.48738861083984
2020-04-23,99.81307983398438
2020-04-24,103.51019287109375
2020-04-27,104.70735168457031
2020-04-28,106.48550415039062
2020-04-29,109.9537124633789
2020-04-30,106.43267822265625
2020-05-01,102.62992095947266
2020-05-04,105.72846221923828
2020-05-05,106.67914581298828
2020-05-06,106.65274047851562
2020-05-07,105.28831481933594
2020-05-08,109.90089416503906
2020-05-11,110.86039733886719
2020-05-12,109.59283447265625
2020-05-13,104.96263885498047
2020-05-14,106.62632751464844
2020-05-15,110.96603393554688
2020-05-18,115.41136932373047
2020-05-19,119.55741882324219
2020-05-20,119.46942901611328
2020-05-21,118.65072631835938
2020-05-22,117.4975814819336
2020-05-26,119.34613800048828
2020-05-27,124.74214935302734
2020-05-28,121.86370086669922
2020-05-29,122.63833618164062
2020-06-01,123.0520248413086
2020-06-02,122.7879867553711
2020-06-03,125.27909088134766
2020-06-04,125.1734390258789
2020-06-05,128.60650634765625
2020-06-08,128.8265838623047
2020-06-09,126.94283294677734
2020-06-10,123.5713882446289
2020-06-11,117.18949890136719
2020-06-12,119.47818756103516
2020-06-15,121.34432220458984
2020-06-16,125.57839965820312
2020-06-17,130.84239196777344
2020-06-18,130.2427978515625
2020-06-19,127.76509094238281
2020-06-22,133.67279052734375
2020-06-23,132.2355499267578
2020-06-24,126.08978271484375
2020-06-25,126.0103759765625
2020-06-26,123.43572235107422
2020-06-29,125.86934661865234
2020-06-30,125.60478210449219
2020-07-01,125.1639404296875
2020-07-02,125.06694793701172
2020-07-06,122.52748107910156
2020-07-07,120.51712036132812
2020-07-08,120.31431579589844
2020-07-09,117.9336166381836
2020-07-10,118.55083465576172
2020-07-13,119.15042877197266
2020-07-14,122.19245910644531
2020-07-15,126.68936157226562
2020-07-16,128.16188049316406
2020-07-17,127.72982025146484
2020-07-20,127.76509094238281
2020-07-21,129.9517822265625
2020-07-22,131.73291015625
2020-07-23,130.82472229003906
2020-07-24,129.85482788085938
2020-07-27,129.46688842773438
2020-07-28,128.90252685546875
2020-07-29,130.6836700439453
2020-07-30,134.7926025390625
2020-07-31,132.38539123535156
2020-08-03,134.51043701171875
2020-08-04,134.7220916748047
2020-08-05,133.7786102294922
2020-08-06,133.8755645751953
2020-08-07,133.99903869628906
2020-08-10,135.18942260742188
2020-08-11,133.9725341796875
2020-08-12,136.03585815429688
2020-08-13,137.54364013671875
2020-08-14,139.89793395996094
2020-08-17,141.9612274169922
